ReportDate,DataYearMonth,CompanyCode,CompanyName,Industry,CurrentRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyChangePercent,YearlyChangePercent,CumulativeCurrentRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Remarks
"1131117","11310","4930","燦星網","電器電纜","606596","862377","667877","-29.659997889554106","-9.175491894465598","6782311","5771191","17.520127128005292","-"
"1131117","11310","4934","太極","光電業","6541","12139","67493","-46.11582502677321","-90.30862459810648","349224","2058094","-83.03167882516541","本月營收較去年同月減少，主係市場需求減緩所致。"
"1131117","11310","4935","茂林-KY","光電業","542958","590175","550204","-8.000508323802261","-1.3169660707664794","5724642","4931695","16.078589612699083","-"
"1131117","11310","4938","和碩","電腦及週邊設備業","118801102","109264099","142204362","8.728395774352196","-16.457483913186856","917145784","1056818276","-13.216320645840156","-"
"1131117","11310","4942","嘉彰","光電業","433411","434674","484376","-0.2905625825331168","-10.521784729218624","4677669","5080544","-7.929761064956823","-"
"1131117","11310","4943","康控-KY","電子零組件業","127667","138737","160214","-7.979125972163158","-20.3147040832886","1247006","1368145","-8.854251559593465","-"
"1131117","11310","4949","有成精密","光電業","188961","224764","277842","-15.929152355359399","-31.98976396657093","2001972","4062706","-50.72318794419286","主要係本期太陽能模組銷售量較去年同期減少所致"
"1131117","11310","4952","凌通","半導體業","177110","181349","175638","-2.33748187197062","0.8380874298272584","2168760","1844753","17.563706360688936","-"
"1131117","11310","4956","光鋐","光電業","101633","124338","90201","-18.26070871334588","12.673917140608197","1067354","963594","10.768020556375403","-"
"1131117","11310","4958","臻鼎-KY","電子零組件業","20952920","19336751","20873714","8.35801733186718","0.37945331626178264","136483507","117875424","15.786227839994874","-"
"1131117","11310","4960","誠美材","光電業","676906","714922","776529","-5.317503168177788","-12.829269737511414","7427983","7760900","-4.289670012498551","-"
"1131117","11310","4961","天鈺","半導體業","1695577","1782935","1265099","-4.899673852383851","34.027218423222216","15748842","13784326","14.251810353295475","-"
"1131117","11310","4967","十銓","半導體業","1195186","1185953","1601091","0.7785300091993528","-25.351775757905077","17866997","12473510","43.23952921030247","-"
"1131117","11310","4968","立積","半導體業","300033","308708","270486","-2.810098863651088","10.923670726026486","3081570","2383795","29.271602633615725","-"
"1131117","11310","4976","佳凌","光電業","81612","93126","72002","-12.363894078989755","13.34685147634788","959592","780270","22.98204467684263","-"
"1131117","11310","4977","眾達-KY","通信網路業","143227","138034","73473","3.7621165799730503","94.93827664584269","842225","1613395","-47.79796640004463","客戶需求回升，因此產品出貨量增加"
"1131117","11310","4989","榮科","電子零組件業","180209","231769","250809","-22.246288330190836","-28.14891012682958","2598768","2968294","-12.449103761285102","-"
"1131117","11310","4994","傳奇","資訊服務業","135823","142812","122673","-4.893846455479932","10.719555240354438","1368274","1343568","1.8388351017588986","-"
"1131117","11310","4999","鑫禾","電子零組件業","168482","180477","150391","-6.646276256808346","12.029310264577003","1620444","1589353","1.9562048204520959","-"
"1131117","11310","5007","三星","鋼鐵工業","491025","552692","569335","-11.157570581806866","-13.754643575399369","5765940","5486213","5.098726571498409","-"
"1131117","11310","5203","訊連","資訊服務業","169952","186934","172299","-9.084489712946816","-1.3621669307424884","1716115","1527839","12.323026182732605","-"
"1131117","11310","5215","科嘉-KY","電腦及週邊設備業","231023","234577","252603","-1.515067547116725","-8.543049765838093","2225910","2068702","7.5993545711272095","-"
"1131117","11310","5222","全訊","半導體業","102732","102782","116456","-0.0486466501916678","-11.784708387717249","1074753","993409","8.188369543662278","-"
